model_id,model_params_est,dtype,quantization_mode,batch_size,context_len,prompt_id,run_id,input_tokens,output_tokens,elapsed_s,tokens_per_s,avg_watts,joules_total,joules_per_token,gpu_name,driver_version,torch_version,transformers_version,error
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,1,2048,1,20,89,128,8.4987,15.06,114.31,944.3777,7.377951,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,4,2048,"1,2,3,4",21,337,512,12.0588,42.46,269.93,3233.3751,6.315186,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,4,2048,"1,2,3,4",22,337,512,12.0791,42.39,271.74,3264.8788,6.376716,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,4,2048,"1,2,3,4",23,337,512,12.0536,42.48,274.73,3290.301,6.426369,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,4,2048,"1,2,3,4",24,337,512,12.0732,42.41,275.46,3311.4535,6.467683,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,4,2048,"1,2,3,4",25,337,512,12.0665,42.43,273.48,3276.0781,6.39859,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,8,2048,"1,2,3,4,5,6,7,8",26,686,1024,14.7713,69.32,286.39,4228.6914,4.129581,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,8,2048,"1,2,3,4,5,6,7,8",27,686,1024,14.7762,69.3,286.13,4218.2442,4.119379,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,8,2048,"1,2,3,4,5,6,7,8",28,686,1024,14.7693,69.33,289.69,4263.5188,4.163593,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,8,2048,"1,2,3,4,5,6,7,8",29,686,1024,14.7754,69.3,285.28,4204.688,4.106141,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,8,2048,"1,2,3,4,5,6,7,8",30,686,1024,14.7836,69.27,289.01,4261.4835,4.161605,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
